"Parameter Name",Value,Type,"Last Updated"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.15.TotalBytesSent,0,xsd:unsignedInt,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.15.TotalPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.15.TotalPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.15.TransmitPower,100,xsd:unsignedInt,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.15.TransmitPowerSupported,"17,20,22,23,24,25,26,27,28,29",xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.15.WPAAuthenticationMode,,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.15.WPAEncryptionModes,,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.15.WPS.ConfigurationState,"Not configured",xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.15.WPS.X_000631_PushButton,0,xsd:boolean,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.15.WPS.X_000631_WpsStatus,Inactive,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.15.X_000631_AssociatedDeviceState,,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.15.X_000631_EnableDCS,1,xsd:boolean,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.15.X_000631_EnableDfsChannels,0,xsd:boolean,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.15.X_000631_EnableMUMIMO,0,xsd:boolean,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.15.X_000631_OperatingChannelBandwidth,20MHz,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.15.X_000631_PSCOnly,0,xsd:boolean,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.AutoChannelEnable,1,xsd:boolean,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.BasicAuthenticationMode,None,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.BasicEncryptionModes,None,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.BeaconType,Basic,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.BSSID,16:85:f9:9c:d0:66,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.Channel,1,xsd:unsignedInt,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.Enable,0,xsd:boolean,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.IEEE11iAuthenticationMode,,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.IEEE11iEncryptionModes,,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.PossibleChannels,"1,2,3,4,5,6,7,8,9,10,11",xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.PreSharedKey.1.KeyPassphrase,,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.RadioEnabled,1,xsd:boolean,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.RegulatoryDomain,CA,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.SSID,,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.SSIDAdvertisementEnabled,1,xsd:boolean,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.Standard,ax,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.Status,Disabled,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.TotalAssociations,0,xsd:unsignedInt,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.TotalBytesReceived,0,xsd:unsignedInt,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.TotalBytesSent,0,xsd:unsignedInt,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.TotalPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.TotalPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.TransmitPower,100,xsd:unsignedInt,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.TransmitPowerSupported,"17,20,22,23,24,25,26,27,28,29",xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.WPAAuthenticationMode,,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.WPAEncryptionModes,,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.WPS.ConfigurationState,"Not configured",xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.WPS.X_000631_PushButton,0,xsd:boolean,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.WPS.X_000631_WpsStatus,Inactive,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.X_000631_AssociatedDeviceState,,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.X_000631_EnableDCS,0,xsd:boolean,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.X_000631_EnableDfsChannels,0,xsd:boolean,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.X_000631_EnableMUMIMO,0,xsd:boolean,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.X_000631_OperatingChannelBandwidth,20MHz,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.16.X_000631_PSCOnly,0,xsd:boolean,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.AutoChannelEnable,1,xsd:boolean,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.BasicAuthenticationMode,,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.BasicEncryptionModes,,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.BeaconType,WPA3,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.BSSID,3a:85:f9:9c:d0:67,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.Channel,0,xsd:unsignedInt,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.Enable,1,xsd:boolean,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.IEEE11iAuthenticationMode,SAEAuthentication,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.IEEE11iEncryptionModes,AESEncryption,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.PossibleChannels,"5,37,69,101,133,165,197",xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.PreSharedKey.1.KeyPassphrase,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.RadioEnabled,1,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.RegulatoryDomain,CA,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.SSID,RESERVED-6G-07FEDD,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.SSIDAdvertisementEnabled,1,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.Standard,ax,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.Status,Disabled,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.TotalAssociations,0,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.TotalBytesReceived,0,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.TotalBytesSent,0,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.TotalPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.TotalPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.TransmitPower,100,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.TransmitPowerSupported,"17,20,22,23,24,25,26,27,28,29",xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.WPAAuthenticationMode,,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.WPAEncryptionModes,,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.WPS.ConfigurationState,"Not configured",xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.WPS.X_000631_PushButton,0,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.WPS.X_000631_WpsStatus,Inactive,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.X_000631_AllPossibleChannels,"80M:5,21,37,53,69,85,101,117,133,149,165,181,197,213;160M:5,37,69,101,133,165,197",xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.X_000631_AssociatedDeviceState,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.X_000631_EnableDCS,0,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.X_000631_EnableDfsChannels,0,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.X_000631_EnableMUMIMO,0,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.X_000631_OperatingChannelBandwidth,160MHz,xsd:string,"2025-12-03 14:45:27"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.17.X_000631_PSCOnly,1,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.AutoChannelEnable,1,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.BasicAuthenticationMode,None,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.BasicEncryptionModes,None,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.BeaconType,Basic,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.BSSID,3e:85:f9:9c:d0:67,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.Channel,0,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.Enable,0,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.IEEE11iAuthenticationMode,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.IEEE11iEncryptionModes,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.PossibleChannels,"5,37,69,101,133,165,197",xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.PreSharedKey.1.KeyPassphrase,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.RadioEnabled,1,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.RegulatoryDomain,CA,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.SSID,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.SSIDAdvertisementEnabled,1,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.Standard,ax,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.Status,Disabled,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.TotalAssociations,0,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.TotalBytesReceived,0,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.TotalBytesSent,0,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.TotalPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.TotalPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.TransmitPower,100,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.TransmitPowerSupported,"17,20,22,23,24,25,26,27,28,29",xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.WPAAuthenticationMode,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.WPAEncryptionModes,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.WPS.ConfigurationState,"Not configured",xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.WPS.X_000631_PushButton,0,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.WPS.X_000631_WpsStatus,Inactive,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.X_000631_AssociatedDeviceState,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.X_000631_EnableDCS,0,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.X_000631_EnableDfsChannels,0,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.X_000631_EnableMUMIMO,0,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.X_000631_OperatingChannelBandwidth,160MHz,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.18.X_000631_PSCOnly,1,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.AutoChannelEnable,1,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.BasicAuthenticationMode,None,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.BasicEncryptionModes,None,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.BeaconType,Basic,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.BSSID,42:85:f9:9c:d0:67,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.Channel,0,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.Enable,0,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.IEEE11iAuthenticationMode,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.IEEE11iEncryptionModes,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.PossibleChannels,"5,37,69,101,133,165,197",xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.PreSharedKey.1.KeyPassphrase,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.RadioEnabled,1,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.RegulatoryDomain,CA,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.SSID,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.SSIDAdvertisementEnabled,1,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.Standard,ax,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.Status,Disabled,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.TotalAssociations,0,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.TotalBytesReceived,0,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.TotalBytesSent,0,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.TotalPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.TotalPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.TransmitPower,100,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.TransmitPowerSupported,"17,20,22,23,24,25,26,27,28,29",xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.WPAAuthenticationMode,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.WPAEncryptionModes,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.WPS.ConfigurationState,"Not configured",xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.WPS.X_000631_PushButton,0,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.WPS.X_000631_WpsStatus,Inactive,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.X_000631_AssociatedDeviceState,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.X_000631_EnableDCS,0,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.X_000631_EnableDfsChannels,0,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.X_000631_EnableMUMIMO,0,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.X_000631_OperatingChannelBandwidth,160MHz,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.19.X_000631_PSCOnly,1,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.AutoChannelEnable,1,xsd:boolean,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.BasicAuthenticationMode,None,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.BasicEncryptionModes,None,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.BeaconType,Basic,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.BSSID,fe:85:f9:9c:d0:67,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.Channel,112,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.Enable,0,xsd:boolean,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.IEEE11iAuthenticationMode,,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.IEEE11iEncryptionModes,,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.PossibleChannels,"36,52,100,132,149",xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.PreSharedKey.1.KeyPassphrase,,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.RadioEnabled,1,xsd:boolean,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.RegulatoryDomain,CA,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.SSID,,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.SSIDAdvertisementEnabled,1,xsd:boolean,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.Standard,ax,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.Status,Disabled,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.TotalAssociations,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.TotalBytesReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.TotalBytesSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.TotalPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.TotalPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.TransmitPower,100,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.TransmitPowerSupported,"17,20,22,23,24,25,26,27,28,29",xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.WPAAuthenticationMode,,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.WPAEncryptionModes,,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.WPS.ConfigurationState,"Not configured",xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.WPS.X_000631_PushButton,0,xsd:boolean,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.WPS.X_000631_WpsStatus,Inactive,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.X_000631_AssociatedDeviceState,,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.X_000631_EnableDCS,1,xsd:boolean,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.X_000631_EnableDfsChannels,1,xsd:boolean,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.X_000631_EnableMUMIMO,0,xsd:boolean,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.X_000631_OperatingChannelBandwidth,80MHz,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.2.X_000631_PSCOnly,0,xsd:boolean,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.20.AutoChannelEnable,1,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.20.BasicAuthenticationMode,None,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.20.BasicEncryptionModes,None,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.20.BeaconType,Basic,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.20.BSSID,46:85:f9:9c:d0:67,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.20.Channel,0,xsd:unsignedInt,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.20.Enable,0,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.20.IEEE11iAuthenticationMode,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.20.IEEE11iEncryptionModes,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.20.PossibleChannels,"5,37,69,101,133,165,197",xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.20.PreSharedKey.1.KeyPassphrase,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.20.RadioEnabled,1,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.20.RegulatoryDomain,CA,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.20.SSID,,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.20.SSIDAdvertisementEnabled,1,xsd:boolean,"2025-12-03 14:45:28"
InternetGatewayDevice.LANDevice.1.WLANConfiguration.20.Standard,ax,xsd:string,"2025-12-03 14:45:28"
