"Parameter Name",Value,Type,"Last Updated"
InternetGatewayDevice.DeviceSummary,"InternetGatewayDevice:1.5[](Baseline:1, EthernetLAN:1, Time:1, IPPing:1, DeviceAssociation:1, WiFiLAN:1, UDPConnReq:1, TraceRoute:1)",xsd:string,"2025-12-03 16:12:01"
InternetGatewayDevice.DNS.SD.Enable,0,xsd:boolean,"2025-12-03 14:45:29"
InternetGatewayDevice.DNS.SD.ServiceNumberOfEntries,0,xsd:unsignedInt,"2025-12-03 14:45:29"
InternetGatewayDevice.DownloadDiagnostics.BOMTime,0001-01-01T00:00:00.000000Z,xsd:dateTime,"2025-12-03 14:45:24"
InternetGatewayDevice.DownloadDiagnostics.DiagnosticsState,,xsd:string,"2025-12-03 14:45:24"
InternetGatewayDevice.DownloadDiagnostics.DownloadURL,,xsd:string,"2025-12-03 14:45:24"
InternetGatewayDevice.DownloadDiagnostics.DSCP,0,xsd:unsignedInt,"2025-12-03 14:45:24"
InternetGatewayDevice.DownloadDiagnostics.EOMTime,0001-01-01T00:00:00.000000Z,xsd:dateTime,"2025-12-03 14:45:24"
InternetGatewayDevice.DownloadDiagnostics.EthernetPriority,0,xsd:unsignedInt,"2025-12-03 14:45:24"
InternetGatewayDevice.DownloadDiagnostics.Interface,,xsd:string,"2025-12-03 14:45:24"
InternetGatewayDevice.DownloadDiagnostics.ROMTime,0001-01-01T00:00:00.000000Z,xsd:dateTime,"2025-12-03 14:45:24"
InternetGatewayDevice.DownloadDiagnostics.TCPOpenRequestTime,0001-01-01T00:00:00.000000Z,xsd:dateTime,"2025-12-03 14:45:24"
InternetGatewayDevice.DownloadDiagnostics.TCPOpenResponseTime,0001-01-01T00:00:00.000000Z,xsd:dateTime,"2025-12-03 14:45:24"
InternetGatewayDevice.DownloadDiagnostics.TestBytesReceived,0,xsd:unsignedInt,"2025-12-03 14:45:24"
InternetGatewayDevice.DownloadDiagnostics.TotalBytesReceived,0,xsd:unsignedInt,"2025-12-03 14:45:24"
InternetGatewayDevice.FaultMgmt.CurrentAlarmNumberOfEntries,0,xsd:unsignedInt,"2025-12-03 14:45:29"
InternetGatewayDevice.FaultMgmt.ExpeditedEventNumberOfEntries,0,xsd:unsignedInt,"2025-12-03 14:45:29"
InternetGatewayDevice.FaultMgmt.HistoryEventNumberOfEntries,0,xsd:unsignedInt,"2025-12-03 14:45:29"
InternetGatewayDevice.FaultMgmt.MaxCurrentAlarmEntries,0,xsd:unsignedInt,"2025-12-03 14:45:29"
InternetGatewayDevice.FaultMgmt.QueuedEventNumberOfEntries,0,xsd:unsignedInt,"2025-12-03 14:45:29"
InternetGatewayDevice.FaultMgmt.SupportedAlarmNumberOfEntries,0,xsd:unsignedInt,"2025-12-03 14:45:29"
InternetGatewayDevice.Firewall.Config,High,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.Firewall.LastChange,2025-12-03T13:38:56-06:00,xsd:dateTime,"2025-12-03 14:45:29"
InternetGatewayDevice.Firewall.Version,1.0,xsd:string,"2025-12-03 14:45:28"
InternetGatewayDevice.Firewall.X_000631_InValue,1000111111100001111111111111111111111111111111111111,xsd:string,"2025-12-03 14:45:28"
