1,1763010000,30,70,31,280,470,336,-840,-750,-805,1,0,0,0
2,1763010000,53,62,58,6,15,7,-890,-870,-879,0,0,0,0
1,1763010900,30,80,32,290,610,351,-830,-730,-801,2,0,0,0
2,1763010900,49,62,58,6,20,8,-880,-870,-878,0,0,0,0
1,1763011800,20,60,31,290,930,348,-840,-750,-803,2,0,0,0
2,1763011800,44,61,55,5,16,7,-890,-870,-879,0,0,0,0
2,1763012700,57,62,59,6,17,7,-890,-870,-879,0,0,0,0
1,1763012700,30,70,32,300,610,369,-830,-760,-802,2,0,0,0
1,1763013600,20,70,34,310,660,383,-840,-770,-806,0,0,0,0
2,1763013600,44,62,57,5,15,8,-890,-870,-879,0,0,0,0
2,1763014500,44,62,57,6,16,8,-880,-870,-879,0,0,0,0
1,1763014500,30,100,33,310,500,364,-850,-730,-799,1,0,0,0
2,1763015400,50,62,57,6,17,8,-880,-870,-879,0,0,0,0
1,1763015400,30,80,32,270,450,328,-840,-760,-800,2,0,0,0
1,1763016300,20,110,33,260,650,334,-830,-740,-793,2,0,0,0
2,1763016300,49,64,59,5,22,8,-880,-870,-879,0,0,0,0
1,1763017200,30,80,33,270,650,351,-840,-770,-800,1,0,0,0
2,1763017200,43,62,57,6,17,9,-880,-870,-879,0,0,0,0
2,1763018100,56,63,59,6,18,8,-880,-870,-879,0,0,0,0
1,1763018100,30,70,33,280,550,344,-830,-740,-796,2,0,0,0
2,1763019000,56,63,59,5,23,8,-880,-870,-879,0,0,0,0
1,1763019000,20,120,38,290,710,358,-830,-740,-802,3,0,0,0
1,1763019900,30,80,35,290,520,350,-830,-730,-803,1,0,0,0
2,1763019900,44,63,56,5,18,8,-890,-870,-879,0,0,0,0
2,1763020800,48,61,57,5,15,7,-900,-870,-879,0,0,0,0
1,1763020800,30,110,34,290,550,355,-830,-740,-798,2,0,0,0
2,1763021700,52,60,57,6,13,7,-890,-870,-879,0,0,0,0
1,1763021700,30,80,34,270,500,337,-830,-730,-798,1,0,0,0
2,1763022600,57,61,58,6,15,7,-880,-870,-879,0,0,0,0
1,1763022600,30,70,32,260,480,316,-830,-740,-799,1,0,0,0
1,1763023500,30,70,31,260,610,351,-840,-750,-799,1,0,0,0
2,1763023500,44,60,54,5,18,8,-880,-870,-879,0,0,0,0
1,1763024400,30,60,32,250,550,323,-840,-750,-797,2,0,0,0
2,1763024400,55,61,58,6,21,8,-880,-870,-878,0,0,0,0
2,1763025300,39,62,54,4,18,8,-890,-870,-879,0,0,0,0
1,1763025300,20,70,32,240,710,317,-840,-740,-799,2,0,0,0
1,1763026200,30,70,33,260,520,321,-850,-750,-803,1,0,0,0
2,1763026200,51,61,57,5,18,7,-890,-870,-879,0,0,0,0
2,1763027100,43,61,56,5,17,7,-880,-870,-879,0,0,0,0
1,1763027100,30,90,35,280,540,344,-840,-770,-804,2,0,0,0
2,1763028000,44,61,58,6,16,8,-890,-870,-879,0,0,0,0
1,1763028000,30,80,33,270,610,355,-840,-760,-800,1,0,0,0
2,1763028900,57,60,58,6,14,7,-890,-870,-879,0,0,0,0
1,1763028900,30,80,33,280,510,340,-840,-760,-804,1,0,0,0
1,1763029800,30,90,33,290,510,353,-850,-760,-805,1,0,0,0
2,1763029800,50,61,58,5,18,7,-890,-870,-879,0,0,0,0
1,1763030700,20,90,34,280,640,355,-840,-770,-803,1,0,0,0
2,1763030700,54,62,58,6,15,7,-880,-870,-878,0,0,0,0
1,1763031600,30,90,35,280,490,349,-840,-770,-802,3,0,0,0
2,1763031600,56,61,58,6,18,7,-890,-870,-879,0,0,0,0
1,1763032500,30,100,33,290,670,369,-840,-770,-805,1,0,0,0
2,1763032500,52,61,58,5,16,7,-880,-870,-879,0,0,0,0
1,1763033400,30,100,33,290,520,356,-840,-760,-804,2,0,0,0
2,1763033400,42,61,51,4,17,9,-890,-870,-879,0,0,0,0
2,1763034300,47,61,57,6,19,8,-890,-870,-880,0,0,0,0
1,1763034300,20,80,35,280,520,351,-850,-740,-808,1,0,0,0
2,1763035200,44,62,55,5,18,8,-890,-870,-879,0,0,0,0
1,1763035200,30,90,35,270,650,338,-830,-750,-800,2,0,0,0
2,1763036100,52,61,57,6,15,7,-890,-870,-880,0,0,0,0
1,1763036100,30,100,35,270,570,340,-830,-770,-805,3,0,0,0
1,1763037000,30,70,33,260,580,327,-830,-720,-799,0,0,0,0
2,1763037000,57,61,58,6,18,8,-880,-870,-879,0,0,0,0
1,1763037900,30,60,31,270,570,325,-840,-750,-803,11,0,0,0
2,1763037900,56,62,58,6,18,7,-880,-870,-879,0,0,0,0
1,1763038800,30,90,36,260,760,400,-840,-710,-796,20,0,0,0
2,1763038800,47,60,56,5,18,8,-890,-870,-879,0,0,0,0
1,1763039700,20,80,32,260,780,352,-850,-740,-803,16,0,0,0
2,1763039700,53,62,58,6,16,7,-880,-880,-880,0,0,0,0
2,1763040600,45,63,56,5,15,7,-890,-870,-879,0,0,0,0
1,1763040600,30,80,33,250,860,329,-840,-720,-799,14,0,0,0
1,1763041500,30,90,34,270,610,359,-830,-750,-803,27,0,0,0
2,1763041500,48,61,58,6,22,8,-880,-870,-878,0,0,0,0
1,1763042400,30,80,32,280,560,368,-830,-750,-797,2,0,0,0
2,1763042400,53,61,58,6,15,7,-890,-870,-879,0,0,0,0
2,1763043300,42,61,53,5,17,7,-880,-870,-879,0,0,0,0
1,1763043300,20,70,32,290,750,425,-840,-730,-797,1,0,0,0
2,1763044200,57,62,58,6,15,7,-900,-870,-879,0,0,0,0
1,1763044200,30,80,31,310,550,367,-830,-740,-797,1,0,0,0
1,1763045100,30,80,34,300,560,372,-830,-740,-801,2,0,0,0
2,1763045100,49,61,58,5,15,7,-890,-870,-879,0,0,0,0
2,1763046000,54,61,58,6,21,7,-880,-870,-879,0,0,0,0
